,unixtime,emg0,emg1,emg2,emg0_ampl,emg1_ampl,emg2_ampl,emg0_med,emg1_med
234,1555416713.5862093,512.0,499.0,515.0,137.0,404.0,63.0,504.65,576.3
235,1555416713.6804175,456.0,1.0,513.0,137.0,794.0,63.0,505.9,548.3
236,1555416713.769083,443.0,181.0,519.0,123.0,794.0,63.0,506.6,530.0
237,1555416713.844715,465.0,480.0,519.0,123.0,794.0,63.0,506.45,530.4
238,1555416713.9199684,483.0,582.0,500.0,123.0,794.0,63.0,505.8,520.45
239,1555416714.00344,511.0,674.0,488.0,123.0,794.0,63.0,505.9,534.6
240,1555416714.0977993,532.0,553.0,510.0,123.0,794.0,63.0,506.05,538.5
241,1555416714.188648,506.0,688.0,512.0,91.0,794.0,63.0,503.05,538.8
242,1555416714.2796094,510.0,422.0,509.0,91.0,794.0,63.0,502.55,535.75
243,1555416714.3652937,521.0,164.0,519.0,91.0,794.0,63.0,503.7,515.7
244,1555416714.4379869,556.0,94.0,509.0,113.0,794.0,52.0,505.35,494.5
245,1555416714.5101364,579.0,276.0,532.0,136.0,794.0,52.0,509.05,483.4
246,1555416714.5828302,586.0,143.0,482.0,143.0,794.0,58.0,513.95,464.2
247,1555416714.6579127,604.0,6.0,472.0,161.0,794.0,68.0,518.95,430.1
248,1555416714.7398252,659.0,826.0,506.0,216.0,825.0,60.0,527.05,438.0
