,unixtime,emg0,emg1,emg2,emg0_ampl,emg1_ampl,emg2_ampl,emg0_med,emg1_med
92,1555416507.9499488,502.0,502.0,599.0,46.0,180.0,166.0,503.75,503.25
93,1555416508.0315773,497.0,533.0,458.0,46.0,180.0,166.0,503.05,505.6
94,1555416508.1037283,499.0,477.0,529.0,46.0,180.0,166.0,501.9,501.95
95,1555416508.1885312,512.0,471.0,541.0,46.0,161.0,166.0,503.5,503.75
96,1555416508.2641525,515.0,504.0,526.0,44.0,161.0,166.0,503.1,501.9
97,1555416508.3433602,487.0,346.0,438.0,44.0,269.0,181.0,502.8,496.15
98,1555416508.4242043,526.0,467.0,449.0,49.0,269.0,181.0,504.85,495.45
99,1555416508.5028358,510.0,516.0,524.0,49.0,269.0,181.0,505.25,498.1
100,1555416508.5787094,501.0,539.0,543.0,49.0,269.0,181.0,505.7,500.95
101,1555416508.6523733,502.0,461.0,520.0,49.0,269.0,181.0,506.45,499.0
102,1555416508.7372093,456.0,393.0,461.0,70.0,269.0,181.0,503.8,493.05
103,1555416508.8152761,485.0,509.0,564.0,70.0,269.0,181.0,502.55,492.8
104,1555416508.8926225,577.0,656.0,505.0,121.0,310.0,181.0,505.8,502.9
105,1555416508.984914,524.0,464.0,505.0,121.0,310.0,181.0,507.8,503.15
106,1555416509.068959,545.0,584.0,496.0,121.0,310.0,181.0,509.3,501.6
107,1555416509.1573725,516.0,510.0,551.0,121.0,310.0,181.0,509.45,500.95
108,1555416509.2365773,518.0,435.0,503.0,121.0,310.0,181.0,509.55,496.8
109,1555416509.316603,513.0,487.0,492.0,121.0,310.0,161.0,511.35,495.6
110,1555416509.407195,513.0,636.0,535.0,121.0,310.0,161.0,510.95,503.4
111,1555416509.485965,507.0,500.0,447.0,121.0,310.0,161.0,510.25,499.5
112,1555416509.5619707,510.0,476.0,464.0,121.0,310.0,126.0,510.65,498.2
113,1555416509.6410642,546.0,555.0,512.0,121.0,310.0,126.0,513.1,499.3
114,1555416509.727522,579.0,550.0,480.0,123.0,310.0,126.0,517.1,502.95
115,1555416509.8054414,538.0,521.0,456.0,123.0,310.0,126.0,518.4,505.45
116,1555416509.879075,504.0,447.0,465.0,123.0,310.0,126.0,517.85,502.6
117,1555416509.9584305,508.0,537.0,523.0,123.0,263.0,117.0,518.9,512.15
118,1555416510.0448184,488.0,538.0,541.0,123.0,263.0,117.0,517.0,515.7
119,1555416510.1157637,479.0,473.0,553.0,123.0,263.0,117.0,515.45,513.55
120,1555416510.2040222,489.0,498.0,526.0,123.0,263.0,117.0,514.85,511.5
121,1555416510.2824392,510.0,459.0,578.0,123.0,263.0,131.0,515.25,511.4
122,1555416510.3625484,506.0,464.0,580.0,100.0,221.0,133.0,517.75,514.95
123,1555416510.4319203,524.0,483.0,479.0,100.0,221.0,133.0,519.7,513.65
